,,,,MSC25:MEF75/MSC75:MEF25,MSC50:MEF50/MSC75:MEF25,MSC25:MEF75/MSC50:MEF50,,,,,,
Major pathway of rRNA processing in the nucleolus and cytosol (R-HSA-6791226),3,+,2.75E-01,9.28E-01,9.85E-01,1.00E+00,,,,,,
rRNA processing (R-HSA-72312),3,+,2.75E-01,9.23E-01,9.77E-01,9.95E-01,,,,,,
rRNA processing in the nucleus and cytosol (R-HSA-8868773),3,+,2.75E-01,9.19E-01,9.25E-01,9.61E-01,,,,,,
Influenza Life Cycle (R-HSA-168255),3,+,2.81E-01,9.29E-01,9.38E-01,9.88E-01,,,,,,
Influenza Infection (R-HSA-168254),3,+,2.81E-01,9.25E-01,9.51E-01,1.05E+00,,,,,,
Platelet homeostasis (R-HSA-418346),3,-,3.09E-01,6.65E-01,9.06E-01,1.01E+00,,,,,,
Hedgehog 'off' state (R-HSA-5610787),3,-,3.22E-01,6.67E-01,8.99E-01,1.00E+00,,,,,,
Toll-Like Receptors Cascades (R-HSA-168898),3,-,3.29E-01,6.77E-01,8.94E-01,9.93E-01,,,,,,
Cell-extracellular matrix interactions (R-HSA-446353),3,-,3.46E-01,6.95E-01,8.89E-01,1.01E+00,,,,,,
Neddylation (R-HSA-8951664),3,-,3.96E-01,7.58E-01,8.74E-01,9.99E-01,,,,,,
"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins. (R-HSA-163200)",3,+,4.43E-01,8.04E-01,8.70E-01,9.98E-01,,,,,,
Respiratory electron transport (R-HSA-611105),3,+,4.43E-01,8.01E-01,8.71E-01,1.01E+00,,,,,,
SeMet incorporation into proteins (R-HSA-2408517),3,+,4.51E-01,8.12E-01,8.64E-01,9.88E-01,,,,,,
UCH proteinases (R-HSA-5689603),3,-,4.59E-01,8.07E-01,8.69E-01,1.07E+00,,,,,,
SUMO E3 ligases SUMOylate target proteins (R-HSA-3108232),3,-,4.76E-01,8.27E-01,8.65E-01,1.07E+00,,,,,,
SUMOylation (R-HSA-2990846),3,-,4.76E-01,8.25E-01,6.52E-01,1.09E+00,,,,,,
Interaction between L1 and Ankyrins (R-HSA-445095),3,+,4.80E-01,8.26E-01,6.50E-01,1.04E+00,,,,,,
Laminin interactions (R-HSA-3000157),3,+,5.06E-01,8.50E-01,6.58E-01,9.91E-01,,,,,,
Regulation of RUNX2 expression and activity (R-HSA-8939902),3,-,5.10E-01,8.56E-01,6.56E-01,9.70E-01,,,,,,
Signaling by NOTCH (R-HSA-157118),3,-,5.10E-01,8.53E-01,6.66E-01,1.09E+00,,,,,,
SRP-dependent cotranslational protein targeting to membrane (R-HSA-1799339),3,+,5.32E-01,8.64E-01,7.14E-01,1.09E+00,,,,,,
MAPK6/MAPK4 signaling (R-HSA-5687128),3,-,5.41E-01,8.75E-01,7.03E-01,1.09E+00,,,,,,
TP53 Regulates Metabolic Genes (R-HSA-5628897),3,-,5.54E-01,8.86E-01,7.01E-01,9.84E-01,,,,,,
GP1b-IX-V activation signalling (R-HSA-430116),3,-,5.86E-01,9.11E-01,7.00E-01,1.05E+00,,,,,,
Hedgehog ligand biogenesis (R-HSA-5358346),3,-,5.91E-01,9.10E-01,7.16E-01,1.80E+00,,,,,,
Antiviral mechanism by IFN-stimulated genes (R-HSA-1169410),3,-,6.15E-01,9.19E-01,7.14E-01,1.01E+00,,,,,,
ISG15 antiviral mechanism (R-HSA-1169408),3,-,6.15E-01,9.17E-01,7.73E-01,1.03E+00,,,,,,
RHO GTPases activate CIT (R-HSA-5625900),3,-,6.34E-01,9.29E-01,7.81E-01,9.80E-01,,,,,,
RHO GTPases Activate ROCKs (R-HSA-5627117),3,-,6.34E-01,9.27E-01,7.88E-01,1.13E+00,,,,,,
RHO GTPases activate PKNs (R-HSA-5625740),3,-,6.34E-01,9.25E-01,7.86E-01,1.12E+00,,,,,,
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC (R-HSA-983170)",3,+,6.43E-01,9.23E-01,7.80E-01,1.02E+00,,,,,,
Nephrin family interactions (R-HSA-373753),3,-,6.63E-01,9.21E-01,8.35E-01,1.11E+00,,,,,,
DNA Repair (R-HSA-73894),3,-,6.68E-01,9.18E-01,8.33E-01,1.10E+00,,,,,,
Nonhomologous End-Joining (NHEJ) (R-HSA-5693571),3,-,6.68E-01,9.16E-01,8.34E-01,9.91E-01,,,,,,
DNA Double-Strand Break Repair (R-HSA-5693532),3,-,6.68E-01,9.15E-01,8.32E-01,9.99E-01,,,,,,
COPII-mediated vesicle transport (R-HSA-204005),3,+,7.03E-01,9.47E-01,8.31E-01,1.58E+00,,,,,,
p75 NTR receptor-mediated signalling (R-HSA-193704),3,-,7.08E-01,9.44E-01,8.26E-01,1.10E+00,,,,,,
Death Receptor Signalling (R-HSA-73887),3,-,7.08E-01,9.42E-01,8.31E-01,1.05E+00,,,,,,
Detoxification of Reactive Oxygen Species (R-HSA-3299685),3,-,7.74E-01,9.29E-01,8.29E-01,1.02E+00,,,,,,
Biological oxidations (R-HSA-211859),3,+,7.79E-01,9.30E-01,8.85E-01,1.01E+00,,,,,,
PIP3 activates AKT signaling (R-HSA-1257604),3,-,8.05E-01,9.20E-01,8.70E-01,9.83E-01,,,,,,
PTEN Regulation (R-HSA-6807070),3,-,8.05E-01,9.19E-01,8.62E-01,1.10E+00,,,,,,
Nonsense-Mediated Decay (NMD) (R-HSA-927802),3,+,8.10E-01,9.19E-01,8.60E-01,1.05E+00,,,,,,
Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC) (R-HSA-975957),3,+,8.10E-01,9.17E-01,8.59E-01,1.01E+00,,,,,,
Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC) (R-HSA-975956),3,+,8.10E-01,9.15E-01,8.63E-01,9.75E-01,,,,,,
Signaling by EGFR (R-HSA-177929),3,-,8.69E-01,9.49E-01,9.10E-01,9.20E-01,,,,,,
Diseases of glycosylation (R-HSA-3781865),3,+,8.69E-01,9.48E-01,9.22E-01,9.87E-01,,,,,,
Diseases associated with glycosaminoglycan metabolism (R-HSA-3560782),3,+,8.69E-01,9.46E-01,9.27E-01,9.35E-01,,,,,,
Plasma lipoprotein assembly (R-HSA-8963898),3,-,8.95E-01,9.60E-01,9.30E-01,9.37E-01,,,,,,
ABC-family proteins mediated transport (R-HSA-382556),3,-,9.01E-01,9.64E-01,9.31E-01,9.84E-01,,,,,,
Interleukin-12 signaling (R-HSA-9020591),3,+,9.11E-01,9.64E-01,9.57E-01,9.81E-01,,,,,,
Glycolysis (R-HSA-70171),3,+,9.17E-01,9.69E-01,9.58E-01,9.71E-01,,,,,,
Signaling by WNT (R-HSA-195721),3,-,9.22E-01,9.67E-01,9.57E-01,9.50E-01,,,,,,
Beta-catenin independent WNT signaling (R-HSA-3858494),3,-,9.22E-01,9.65E-01,9.55E-01,9.43E-01,,,,,,
PCP/CE pathway (R-HSA-4086400),3,-,9.22E-01,9.64E-01,9.74E-01,1.01E+00,,,,,,
Metabolism of steroids (R-HSA-8957322),3,-,9.38E-01,9.77E-01,9.86E-01,1.04E+00,,,,,,
Host Interactions of HIV factors (R-HSA-162909),3,+,9.87E-01,1.00E+00,9.85E-01,9.98E-01,,,,,,
Citric acid cycle (TCA cycle) (R-HSA-71403),3,-,9.97E-01,9.99E-01,9.83E-01,1.77E+00,,,,,,
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S (R-HSA-72662)",2,-,2.58E-02,2.47E+00,7.93E+00,1.13E+00,,,,,,
Translation initiation complex formation (R-HSA-72649),2,-,2.58E-02,2.16E+00,5.29E+00,9.96E-01,,,,,,
mTOR signalling (R-HSA-165159),2,-,2.58E-02,1.92E+00,3.52E+00,2.04E+00,,,,,,
Ribosomal scanning and start codon recognition (R-HSA-72702),2,-,2.58E-02,1.73E+00,3.08E+00,1.13E+00,,,,,,
mTORC1-mediated signalling (R-HSA-166208),2,-,2.58E-02,1.57E+00,2.74E+00,1.13E+00,,,,,,
Signaling by Hippo (R-HSA-2028269),2,-,3.18E-02,1.42E+00,2.46E+00,1.10E+00,,,,,,
Resolution of Sister Chromatid Cohesion (R-HSA-2500257),2,-,3.38E-02,1.34E+00,2.24E+00,9.92E-01,,,,,,
Mitotic Spindle Checkpoint (R-HSA-69618),2,-,3.38E-02,1.26E+00,1.97E+00,9.88E-01,,,,,,
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal (R-HSA-141444),2,-,3.38E-02,1.19E+00,1.84E+00,1.10E+00,,,,,,
Amplification of signal from the kinetochores (R-HSA-141424),2,-,3.38E-02,1.14E+00,1.74E+00,1.13E+00,,,,,,
TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain (R-HSA-6803205),2,-,3.60E-02,1.01E+00,1.64E+00,1.02E+00,,,,,,
TP53 Regulates Transcription of Cell Death Genes (R-HSA-5633008),2,-,3.60E-02,9.66E-01,1.55E+00,1.13E+00,,,,,,
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers (R-HSA-983695),2,-,4.40E-02,1.05E+00,1.48E+00,1.12E+00,,,,,,
LDL clearance (R-HSA-8964038),2,-,5.66E-02,1.27E+00,1.41E+00,1.12E+00,,,,,,
Diseases of metabolism (R-HSA-5668914),2,-,7.34E-02,1.37E+00,1.34E+00,1.12E+00,,,,,,
Glycogen storage diseases (R-HSA-3229121),2,-,7.34E-02,1.33E+00,1.28E+00,1.12E+00,,,,,,
Diseases of carbohydrate metabolism (R-HSA-5663084),2,-,7.34E-02,1.30E+00,1.42E+00,1.12E+00,,,,,,
Glycogen metabolism (R-HSA-8982491),2,-,7.34E-02,1.26E+00,1.45E+00,1.17E+00,,,,,,
Golgi Cisternae Pericentriolar Stack Reorganization (R-HSA-162658),2,+,8.47E-02,1.32E+00,1.05E+00,1.13E+00,,,,,,
G alpha (q) signalling events (R-HSA-416476),2,-,1.10E-01,1.39E+00,1.03E+00,1.11E+00,,,,,,
Plasma lipoprotein remodeling (R-HSA-8963899),2,-,1.36E-01,1.23E+00,1.02E+00,9.73E-01,,,,,,
Glycerophospholipid biosynthesis (R-HSA-1483206),2,+,1.42E-01,1.12E+00,1.03E+00,1.11E+00,,,,,,
Acyl chain remodeling of CL (R-HSA-1482798),2,+,1.42E-01,1.11E+00,9.69E-01,4.32E+00,,,,,,
Beta oxidation of hexanoyl-CoA to butanoyl-CoA (R-HSA-77350),2,+,1.42E-01,1.10E+00,9.95E-01,1.03E+00,,,,,,
Beta oxidation of octanoyl-CoA to hexanoyl-CoA (R-HSA-77348),2,+,1.42E-01,1.09E+00,9.84E-01,9.67E-01,,,,,,
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA (R-HSA-77346),2,+,1.42E-01,1.07E+00,9.74E-01,1.96E+00,,,,,,
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA (R-HSA-77310),2,+,1.42E-01,1.06E+00,1.04E+00,1.01E+00,,,,,,
mitochondrial fatty acid beta-oxidation of unsaturated fatty acids (R-HSA-77288),2,+,1.42E-01,1.05E+00,1.01E+00,1.01E+00,,,,,,
Beta oxidation of myristoyl-CoA to lauroyl-CoA (R-HSA-77285),2,+,1.42E-01,1.04E+00,1.03E+00,1.16E+00,,,,,,
Phospholipid metabolism (R-HSA-1483257),2,+,1.42E-01,1.03E+00,1.02E+00,2.92E+00,,,,,,
Peptide chain elongation (R-HSA-156902),2,+,1.64E-01,1.01E+00,1.01E+00,1.11E+00,,,,,,
Formation of a pool of free 40S subunits (R-HSA-72689),2,+,1.64E-01,9.99E-01,1.00E+00,9.84E-01,,,,,,
Eukaryotic Translation Elongation (R-HSA-156842),2,+,1.64E-01,9.90E-01,9.46E-01,1.01E+00,,,,,,
Eukaryotic Translation Termination (R-HSA-72764),2,+,1.64E-01,9.81E-01,9.50E-01,9.83E-01,,,,,,
Viral mRNA Translation (R-HSA-192823),2,+,1.64E-01,9.72E-01,9.00E-01,1.11E+00,,,,,,
Selenocysteine synthesis (R-HSA-2408557),2,+,1.64E-01,9.64E-01,9.07E-01,1.11E+00,,,,,,
Influenza Viral RNA Transcription and Replication (R-HSA-168273),2,+,1.64E-01,9.55E-01,8.69E-01,1.10E+00,,,,,,
Translocation of SLC2A4 (GLUT4) to the plasma membrane (R-HSA-1445148),2,+,1.69E-01,9.36E-01,8.65E-01,1.10E+00,,,,,,
SLC-mediated transmembrane transport (R-HSA-425407),2,-,1.82E-01,9.18E-01,8.61E-01,1.10E+00,,,,,,
Gap junction trafficking and regulation (R-HSA-157858),2,-,1.87E-01,9.32E-01,8.57E-01,9.87E-01,,,,,,
Regulation of PLK1 Activity at G2/M Transition (R-HSA-2565942),2,-,2.33E-01,1.01E+00,8.53E-01,1.10E+00,,,,,,
Opioid Signalling (R-HSA-111885),2,-,2.42E-01,1.05E+00,8.50E-01,1.10E+00,,,,,,
CaM pathway (R-HSA-111997),2,-,2.42E-01,1.04E+00,8.46E-01,9.79E-01,,,,,,
Ca-dependent events (R-HSA-111996),2,-,2.42E-01,1.04E+00,8.42E-01,1.09E+00,,,,,,
DAG and IP3 signaling (R-HSA-1489509),2,-,2.42E-01,1.03E+00,8.39E-01,1.09E+00,,,,,,
Calmodulin induced events (R-HSA-111933),2,-,2.42E-01,1.02E+00,8.35E-01,1.86E+00,,,,,,
PLC beta mediated events (R-HSA-112043),2,-,2.42E-01,1.02E+00,8.31E-01,1.10E+00,,,,,,
G-protein mediated events (R-HSA-112040),2,-,2.42E-01,1.01E+00,8.28E-01,1.10E+00,,,,,,
Miscellaneous transport and binding events (R-HSA-5223345),2,-,2.53E-01,1.00E+00,8.24E-01,1.14E+00,,,,,,
Pentose phosphate pathway (R-HSA-71336),2,-,2.78E-01,9.22E-01,8.21E-01,9.67E-01,,,,,,
Signaling by Nuclear Receptors (R-HSA-9006931),2,+,2.81E-01,9.20E-01,8.17E-01,1.09E+00,,,,,,
Sulfur amino acid metabolism (R-HSA-1614635),2,+,3.00E-01,9.20E-01,8.14E-01,1.11E+00,,,,,,
The role of GTSE1 in G2/M progression after G2 checkpoint (R-HSA-8852276),2,-,3.04E-01,9.27E-01,8.10E-01,1.09E+00,,,,,,
Ub-specific processing proteases (R-HSA-5689880),2,-,3.04E-01,9.23E-01,8.07E-01,1.13E+00,,,,,,
Ubiquitin-dependent degradation of Cyclin D (R-HSA-75815),2,-,3.04E-01,9.19E-01,8.03E-01,1.12E+00,,,,,,
Defective CFTR causes cystic fibrosis (R-HSA-5678895),2,-,3.04E-01,9.15E-01,8.00E-01,1.02E+00,,,,,,
CDK-mediated phosphorylation and removal of Cdc6 (R-HSA-69017),2,-,3.04E-01,9.11E-01,7.97E-01,1.03E+00,,,,,,
APC/C:Cdc20 mediated degradation of mitotic proteins (R-HSA-176409),2,-,3.04E-01,9.07E-01,7.93E-01,1.09E+00,,,,,,
Regulation of APC/C activators between G1/S and early anaphase (R-HSA-176408),2,-,3.04E-01,9.03E-01,7.90E-01,1.08E+00,,,,,,
DNA Replication Pre-Initiation (R-HSA-69002),2,-,3.04E-01,8.99E-01,7.87E-01,1.08E+00,,,,,,
Vif-mediated degradation of APOBEC3G (R-HSA-180585),2,-,3.04E-01,8.95E-01,7.84E-01,1.08E+00,,,,,,
Cellular response to hypoxia (R-HSA-2262749),2,-,3.04E-01,8.91E-01,7.80E-01,9.94E-01,,,,,,
Regulation of activated PAK-2p34 by proteasome mediated degradation (R-HSA-211733),2,-,3.04E-01,8.87E-01,7.77E-01,1.08E+00,,,,,,
Vpu mediated degradation of CD4 (R-HSA-180534),2,-,3.04E-01,8.83E-01,7.74E-01,1.08E+00,,,,,,
DNA Replication (R-HSA-69306),2,-,3.04E-01,8.79E-01,7.71E-01,9.75E-01,,,,,,
Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha (R-HSA-1234176),2,-,3.04E-01,8.75E-01,7.68E-01,9.81E-01,,,,,,
Regulation of Hypoxia-inducible Factor (HIF) by oxygen (R-HSA-1234174),2,-,3.04E-01,8.72E-01,7.65E-01,9.80E-01,,,,,,
Regulation of PTEN stability and activity (R-HSA-8948751),2,-,3.04E-01,8.68E-01,7.62E-01,9.75E-01,,,,,,
Cyclin A:Cdk2-associated events at S phase entry (R-HSA-69656),2,-,3.04E-01,8.64E-01,7.59E-01,1.07E+00,,,,,,
Autodegradation of Cdh1 by Cdh1:APC/C (R-HSA-174084),2,-,3.04E-01,8.61E-01,7.56E-01,2.63E+00,,,,,,
Regulation of ornithine decarboxylase (ODC) (R-HSA-350562),2,-,3.04E-01,8.57E-01,7.53E-01,1.07E+00,,,,,,
Downstream TCR signaling (R-HSA-202424),2,-,3.04E-01,8.53E-01,7.50E-01,1.07E+00,,,,,,
SCF(Skp2)-mediated degradation of p27/p21 (R-HSA-187577),2,-,3.04E-01,8.50E-01,7.47E-01,1.07E+00,,,,,,
TCF dependent signaling in response to WNT (R-HSA-201681),2,-,3.04E-01,8.46E-01,7.44E-01,9.71E-01,,,,,,
TCR signaling (R-HSA-202403),2,-,3.04E-01,8.43E-01,7.41E-01,9.67E-01,,,,,,
G1/S DNA Damage Checkpoints (R-HSA-69615),2,-,3.04E-01,8.39E-01,7.38E-01,9.63E-01,,,,,,
p53-Independent G1/S DNA damage checkpoint (R-HSA-69613),2,-,3.04E-01,8.36E-01,7.35E-01,1.07E+00,,,,,,
p53-Independent DNA Damage Response (R-HSA-69610),2,-,3.04E-01,8.33E-01,7.32E-01,1.11E+00,,,,,,
Downstream signaling events of B Cell Receptor (BCR) (R-HSA-1168372),2,-,3.04E-01,8.29E-01,7.30E-01,9.79E-01,,,,,,
Fc epsilon receptor (FCERI) signaling (R-HSA-2454202),2,-,3.04E-01,8.26E-01,7.27E-01,1.07E+00,,,,,,
Ubiquitin Mediated Degradation of Phosphorylated Cdc25A (R-HSA-69601),2,-,3.04E-01,8.23E-01,7.24E-01,1.10E+00,,,,,,
M/G1 Transition (R-HSA-68874),2,-,3.04E-01,8.19E-01,7.21E-01,1.02E+00,,,,,,
Regulation of Apoptosis (R-HSA-169911),2,-,3.04E-01,8.16E-01,7.19E-01,9.83E-01,,,,,,
Hedgehog 'on' state (R-HSA-5632684),2,-,3.04E-01,8.13E-01,7.16E-01,1.03E+00,,,,,,
Degradation of beta-catenin by the destruction complex (R-HSA-195253),2,-,3.04E-01,8.09E-01,7.13E-01,9.61E-01,,,,,,
Assembly of the pre-replicative complex (R-HSA-68867),2,-,3.04E-01,8.06E-01,7.11E-01,1.06E+00,,,,,,
Cross-presentation of soluble exogenous antigens (endosomes) (R-HSA-1236978),2,-,3.04E-01,8.03E-01,7.08E-01,1.06E+00,,,,,,
Negative regulation of NOTCH4 signaling (R-HSA-9604323),2,-,3.04E-01,8.00E-01,7.05E-01,1.06E+00,,,,,,
CDT1 association with the CDC6:ORC:origin complex (R-HSA-68827),2,-,3.04E-01,7.97E-01,7.03E-01,1.10E+00,,,,,,
Regulation of RUNX3 expression and activity (R-HSA-8941858),2,-,3.04E-01,7.94E-01,7.00E-01,1.03E+00,,,,,,
FBXL7 down-regulates AURKA during mitotic entry and in early mitosis (R-HSA-8854050),2,-,3.04E-01,7.91E-01,6.98E-01,9.70E-01,,,,,,
ABC transporter disorders (R-HSA-5619084),2,-,3.04E-01,7.88E-01,6.95E-01,1.01E+00,,,,,,
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins (R-HSA-176814),2,-,3.04E-01,7.85E-01,6.93E-01,1.01E+00,,,,,,
Hh mutants that don't undergo autocatalytic processing are degraded by ERAD (R-HSA-5362768),2,-,3.04E-01,7.82E-01,6.90E-01,1.00E+00,,,,,,
Cdc20:Phospho-APC/C mediated degradation of Cyclin A (R-HSA-174184),2,-,3.04E-01,7.79E-01,6.88E-01,1.06E+00,,,,,,
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 (R-HSA-174178),2,-,3.04E-01,7.76E-01,6.85E-01,9.79E-01,,,,,,
RUNX1 regulates transcription of genes involved in differentiation of HSCs (R-HSA-8939236),2,-,3.04E-01,7.73E-01,6.83E-01,1.00E+00,,,,,,
CLEC7A (Dectin-1) signaling (R-HSA-5607764),2,-,3.04E-01,7.70E-01,6.80E-01,1.02E+00,,,,,,
Dectin-1 mediated noncanonical NF-kB signaling (R-HSA-5607761),2,-,3.04E-01,7.67E-01,6.78E-01,1.10E+00,,,,,,
C-type lectin receptors (CLRs) (R-HSA-5621481),2,-,3.04E-01,7.64E-01,6.76E-01,1.06E+00,,,,,,
Signaling by NOTCH4 (R-HSA-9013694),2,-,3.04E-01,7.61E-01,6.73E-01,1.06E+00,,,,,,
APC/C:Cdc20 mediated degradation of Securin (R-HSA-174154),2,-,3.04E-01,7.58E-01,6.71E-01,1.10E+00,,,,,,
TNFR2 non-canonical NF-kB pathway (R-HSA-5668541),2,-,3.04E-01,7.56E-01,6.68E-01,1.05E+00,,,,,,
APC/C-mediated degradation of cell cycle proteins (R-HSA-174143),2,-,3.04E-01,7.53E-01,6.66E-01,9.78E-01,,,,,,
Hh mutants abrogate ligand secretion (R-HSA-5387390),2,-,3.04E-01,7.50E-01,6.64E-01,9.99E-01,,,,,,
Asymmetric localization of PCP proteins (R-HSA-4608870),2,-,3.04E-01,7.47E-01,6.62E-01,1.10E+00,,,,,,
